"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"Sprr1a",10.5086464116585,11.3223159201857,10.7536598034734,8.9527334604979,8.66570130587488,8.88429782447302,9.62886474518874,10.0817013441494,9.80969110837589,8.72257025575841,8.81001992021117,8.77247161133192
"Tifa",9.01360807207712,8.91225725284656,8.57679116060444,8.92338152806027,8.54236117308584,8.72205617872467,10.2670655583996,10.6624679871541,10.2305819326531,8.89324940100408,9.39467083352938,9.06048396092805
"Slc39a14",9.26242165746569,9.46608914393953,9.05980967534088,9.14312143355904,8.88204241763521,9.40779311279172,10.2625702867205,10.6285421354464,9.99346860573382,8.82928226558419,9.17715529188207,9.60053385531793
"Nlrp3",8.44056592128695,8.43716239823446,8.94211493321864,8.70684871914632,8.4918428515995,8.66410953243476,9.78755030764698,10.0350425889446,9.19436403443633,8.64358923461651,8.61858989037717,8.76458613089167
"Tlr1",6.03664164239794,6.37850347770671,6.38989312290386,6.25130211110489,5.7443565251262,6.17812860497378,8.0601705689768,7.87212461218941,7.60610084755263,6.12619726745015,6.61037506829405,5.56878211917274
"Clec3b",10.0485801175587,9.567605938767,9.91809416409752,10.1608285252155,9.65604676630798,8.63298308090494,7.36340946784166,8.18524687722701,8.58674745522198,8.39352626276553,8.47653162436523,7.89611421076037
"Tnfaip2",8.80100376445319,8.51260167115647,8.771372233358,8.02807192606455,7.89105471073415,7.20134303819209,10.3632322544714,10.4849964003915,9.83248264873679,8.40445337414848,8.6467358622003,7.60081996235976
"Tnfrsf1b",8.86552991676559,8.6021725273782,8.63842934643628,8.24902459552782,8.25367915078173,8.19291739048968,10.355461394702,10.5676000059109,10.0832422097213,8.73456877859056,9.18940325191553,7.88795950334589
"Cmpk2",8.69277731488245,9.27965094026748,7.25999246886421,7.92520635914858,7.99033067585115,7.5131205668748,10.2866295882949,10.4301268824517,9.10369616029215,8.0098538222901,8.24371309117257,7.38883807743881
"Upp1",8.65847767798874,9.04574349377416,8.33806845977475,8.40751453592798,8.39973163707661,7.85500334698335,9.53736497888163,10.1744371309485,9.56428643245952,8.49412266780047,8.22499956078352,7.80764176359568
"Zc3h12a",6.53536609464019,6.80774551743459,6.5966978062489,6.57948063252696,6.56431575816975,6.67915112579226,7.70918053102021,8.39715602685415,7.79111936787487,6.66303248869294,7.00984413602663,6.61926998437678
"Themis2",8.88173689313663,9.12692711560149,8.88088824993441,8.73147358370309,8.4891457378322,8.20744986209901,10.4679558496111,10.5148679770373,9.70264116809103,8.99331631726938,9.42789810070704,8.2827000556338
"Oasl1",9.21253457943576,9.6929167998089,9.46139592586415,8.54936004338112,8.20428460890497,8.61616031843011,10.7896849050441,11.3377532752157,9.90202571713179,8.33870876621816,8.50987521133558,8.51893613187532
"Ifi209",8.43724367149595,8.91389602159079,8.48048698255315,7.90382400501052,7.71835440384931,6.7661445843474,11.0814441570334,10.8114046300718,9.59169270087088,8.08176010696091,8.89974965430015,6.54126506726334
"Clec5a",7.29493486802648,7.50792724846957,7.37673215393457,7.11264683602877,6.6785239929078,7.13946383594531,8.36051213318233,8.51651809817433,8.40296013893045,6.9234913434453,7.29766116183243,6.86344683559293
"Fyb",9.02316326009967,8.69097695295966,8.94899756388396,8.8295497211411,8.58235737096803,8.81558414135939,9.9038861960914,10.7687818307271,9.97221125551917,8.94892908093024,9.24412444039574,7.87953819575704
