"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"1434177_at",9.45112441635358,10.0923756876728,8.02128334517784,9.45239918041208,10.4717178987683,9.89132508912714,9.22796443226768,9.41872261254698,9.37690546871103,9.49130061155115,9.84104800932429,9.83611089258365
"1456062_at",9.90367541198431,9.24621812143292,9.4294082690444,8.7458958072506,9.74010466645192,8.87738421785432,9.21642153343437,9.4130037971364,8.8562101473544,10.4348520406599,9.72707535712543,9.57633625321467
"1428467_at",8.96453492115203,8.12489167967644,9.33306667916902,9.17759085696575,8.58680431898744,9.6138096198126,8.52949182918546,8.51898940773296,8.58191286738641,9.20889624649912,9.28700295250215,9.51839472595697
"1425288_at",6.45109289564638,6.24572229244716,6.93084459976143,6.87897665268566,6.36489215073903,7.0887831023514,6.62224059974027,6.55643306154795,7.00387309021619,6.48522746964196,6.3628709020554,6.63800652432674
"1437172_x_at",9.03392055576948,7.73116399527591,8.81008754895889,8.56770369310475,8.42420649890913,8.1216336280072,8.59499641192467,8.29628805452608,7.7533528329187,9.10677080025709,8.73172983032887,8.8177700497845
"1423919_at",7.91087267124878,7.94483339978052,8.36907928839188,7.4346049616101,7.51226050518233,8.07068541614519,7.65986060029749,7.95529316971591,8.14773022370248,7.50565090635962,7.6831283274837,8.20927474082688
"1437838_x_at",9.25810104052767,8.13123775366183,9.03218002043295,8.75772380816418,8.54859126637937,8.52615800302862,8.85375839758128,8.81123024080826,8.16677596859191,9.05095997121648,8.86735264067354,9.06976721160651
"1434311_at",9.68549161402984,9.42255433400441,10.0169197165422,9.92631946954901,9.7010213864347,10.0994503064569,9.43583094777831,9.59555414723679,9.47675356635115,9.94145756303553,10.0971281408842,10.1118481100504
"1451335_at",11.7802503411156,12.1429112991689,11.6965618620555,11.0523574650377,10.6220268302284,8.95318088959377,12.5840403869377,12.5374478055417,12.2163592873689,11.4908335627273,11.7949066172236,8.94140990240659
"1424339_at",9.21253457943576,9.6929167998089,9.46139592586415,8.54936004338112,8.20428460890497,8.61616031843011,10.7896849050441,11.3377532752157,9.90202571713179,8.33870876621816,8.50987521133558,8.51893613187532
"1428346_at",10.0279155752495,9.96981666197943,9.93440116426171,9.52863311301354,9.48434637538172,9.68891757631244,10.4887908210482,10.7609850353853,10.230911541531,9.60006464100191,9.62710197755997,9.74362045296753
"1438675_at",6.40225187101455,7.33460880464913,7.05686088354571,7.01967038271026,8.40189644893728,7.48286126371352,6.37021141784662,6.32207551304329,6.56070550645597,6.80755896640279,6.68387257216258,7.44575503867147
"1427327_at",8.1264713120138,8.16984393684717,8.01173396638214,7.57324644615173,7.53072016389331,7.59372330614927,8.95590912167187,9.00616456687953,9.0169369505507,7.93617853647962,8.86560815921663,7.29567472680197
"1427891_at",9.29046060432618,9.08736565108557,8.84316975578472,9.02334734879212,9.51918229279575,9.03666202699182,8.54988211015112,9.00010979303405,8.7595672463212,9.27382672179176,9.18598219129077,9.34563367640501
"1451127_at",8.30205252841831,7.31074994680694,7.96645151975014,8.52706659239785,7.5312743205525,8.05747745910743,8.1842938628813,8.19485952260035,7.76722371449469,8.4437081238277,8.65032972142335,8.36742822376436
"1423667_at",11.1845258428806,11.5084765863332,10.0742500570214,11.0089267801543,11.6699421526422,11.5846202972948,10.9322979801215,11.00103215464,10.6620217674745,11.054524991995,10.8982836848137,11.6843757872962
"1435420_at",8.21664233410916,8.18554373130469,8.84409484004005,8.8739064347857,8.7373953199099,8.6680931010966,7.99475895827639,8.06939364546896,8.03049945135433,8.79108920032032,8.95080394936681,8.53728141029572
"1423869_s_at",8.94819557356854,8.89010217184224,9.20249795784222,9.27030752071095,9.25976115754453,8.93950698648198,8.66572879576784,8.80563910321453,8.66450849812614,9.16823092435401,9.42325616565963,9.23187321521073
"1451229_at",7.97678596554087,7.38830891752093,8.28203112352575,8.1524026356928,8.26187519054194,8.63007300575662,7.636806846114,7.70614597442058,7.81038470427957,8.17111638919288,7.85587455174762,8.55466050573994
"1438169_a_at",9.43462238338979,8.8753311431584,9.9056501301109,9.39897433180996,8.94724944083395,9.02951450678965,9.45467253211017,9.21686875378221,8.59232083788936,9.68578997982581,9.618323383125,9.36906933324687
"1433851_at",7.19642938778216,7.01186304849886,7.57914294076557,7.29944372875935,7.42103809222151,7.70175946496696,6.92907885257041,6.9942021257852,7.19516094491581,7.53274740853507,7.45849016804793,7.91882083152368
"1436746_at",7.75731321971968,11.1895960442012,7.5674413447481,8.13675834987729,11.6204320229845,7.24083234062169,7.25548348956123,6.70792342461917,7.10952470999973,8.24181380336196,7.37022159734882,7.76192499911097
"1433612_at",10.4557890204217,10.3728617801032,10.1468773173572,9.86739427153691,9.83096707468702,9.80367021950634,10.1781004674585,10.3702849479303,10.4570491416906,9.88034095724113,10.1469928640459,9.62859138842189
"1451386_at",9.14676543624904,9.30885622356728,8.55122657494432,8.85964814423879,8.88323238243394,8.59936177972582,9.39091042405639,9.47274523131316,9.70279633611572,9.0268695108182,8.84515835421998,8.77458823562715
"1425380_at",7.90863398927502,8.26176594956604,7.85332134149867,7.98152361572502,8.15063130246964,7.5820947109526,8.31890242614222,8.76608869643264,8.29426677603355,8.01367460509408,8.28076767683423,7.7311989512469
"1426293_at",6.21405940845974,5.761877795958,6.73949088217579,6.18471722308146,6.38696449792598,6.42011616810138,6.07094409949783,5.9695442086519,5.76915604264459,6.03775788221725,6.17174463701454,6.60659834338027
"1424975_at",6.04941241870631,5.54871605573553,6.12529290462544,6.04870507933606,5.90167793495578,5.55031579488003,5.6058492103867,5.76903147195398,5.81628187385071,6.18684315050091,6.2999566326736,5.7134184661757
"1423774_a_at",7.33553965740314,7.25510765811396,6.84416805568294,5.78264170127058,5.41485135445904,5.74662966621886,6.14524039429687,6.66399844182064,6.40303751200975,5.55478192668184,5.78221272254588,5.46003792940557
"1434618_at",7.52518531597931,6.79873262780267,7.68365932683149,7.38085160010159,7.11242570139594,7.30747754841633,7.345276522453,7.54546417221736,7.20855838234688,7.65956015227691,7.85079700147433,7.13091408782255
"1425214_at",8.81783913467631,9.0284731410882,8.54487800639522,8.59605313554454,8.34029952017725,7.94669199702789,9.68023952560044,9.72255862203918,9.73546651630478,8.58346610616863,8.78534243447744,7.88658604918482
"1424616_s_at",8.61803148983911,8.3628409729736,7.53895443251615,8.20393208940263,8.13410095703582,7.86414733078929,8.76895358012867,8.52190983395432,7.71040537752193,8.40482536413834,8.46542847724074,8.02616201420512
"1428586_at",5.60110332909128,4.97116705887808,5.43344966905591,5.60757082221639,4.99724057043231,5.0334840568009,5.32250662978718,5.34796982098976,5.19394253717035,5.37544349896262,5.44755281626137,5.72279530903758
"1456190_a_at",6.41314668192857,6.40648064817737,7.06406681381794,6.94936955875712,6.73778074447157,7.2672075423266,6.57603265827018,6.2152177620668,6.61456618113341,6.48958340428047,6.15166690669483,6.95617916167071
"1455141_at",7.78667173496178,6.92186897600307,7.83687106910664,7.87538093816985,7.11244396625552,7.91856244597858,7.93720364467405,7.67166242421538,7.13986543413585,7.89142394598423,7.9572451996545,8.1928928846894
"1424916_x_at",8.04419384177623,7.88308410249133,8.90527674080707,8.46992384752127,8.37304122921946,8.71968430711014,8.09522388719145,8.04009600807578,8.4078556323797,8.31606539110973,8.32461488975222,8.68154831223876
"1433598_at",9.34372790575062,11.340140814396,8.85836431307843,9.70171768999348,11.8563269671158,9.90871423519208,9.34394704546159,9.14494629769807,9.03546278901305,9.66684685252984,9.74834117363866,9.77371122011771
"1426442_at",8.66851951660424,7.51707094478193,7.78395406432131,8.84189458160246,8.26437496795095,8.29945998805441,8.0761298167151,7.52173717151252,7.39819667559692,8.82132973133056,8.6007762235433,8.39895683613618
"1451777_at",8.07783425202422,7.69738822210863,7.46435602123401,6.64401911974542,6.41107448069594,6.66752895833018,8.66643920797329,8.6066184959135,7.57828044552367,6.85233081363402,6.9770148995619,6.77091611451904
"1452192_at",8.52787347298693,8.09994891434759,8.95273246803071,8.61366003806986,8.00922956679247,7.96695450128512,8.40398697162047,8.36078976850407,7.98872354492179,8.6016067483505,8.7741302679735,8.41404143062463
"1455505_at",7.08158710115351,6.61497184010044,6.90048555350669,6.87012683163355,6.95384631499911,6.88637007648277,6.56132876159712,6.54346315226483,6.71388141155057,7.3208169056155,7.40954256342345,7.38315425163271
"1451500_at",9.45657837276273,9.58207810367832,9.68090253756801,9.55590272827059,10.0024929547926,8.96916572606365,8.97672939235175,8.98097330095995,9.3435010371722,9.75921972789987,9.81856049909969,8.70099343933899
"1433496_at",8.95743104747994,9.27191322168638,7.45756862199673,8.81190148990693,8.81941369935716,8.18221234651021,8.8218431240528,9.05074048174886,8.8900341875146,8.79595851344503,8.94071440379675,8.18996366672949
"1424831_at",7.98454263016352,7.92068044727249,7.24204599196119,7.71698361100565,7.3465421136797,7.43837405557995,8.28502849104992,8.81141308232389,8.62861539424768,7.66234353460877,7.80587958652263,7.28121051626566
"1452096_s_at",10.2859252753085,10.6015980278939,11.1606174080969,10.6058439844404,10.9395244791232,11.3131441049902,10.2042068838391,10.4365873925954,10.6422973142063,10.695045058174,10.6900033274197,11.297219124027
"1451557_at",7.9305170161399,7.94316776742043,8.40539827399831,8.4633277378474,8.31452083215043,8.80403590183112,8.28263719619966,8.04330003839973,8.27050088032694,8.28580976716832,7.69416632775859,8.89333421821149
"1423685_at",9.8050682957114,9.79930554219322,8.9948495589564,9.0762202621849,9.30144242506585,9.17236288907345,9.56916702528323,9.98398373370631,9.87373489042448,9.02683825580067,9.34695603089775,9.18319631196382
"1426926_at",9.67730667826842,10.0078736652162,10.160174011645,9.9399254652617,9.71838449523923,9.35738046511519,10.4419378400802,10.4133986564713,10.2984578688361,10.0664772037782,10.2414680508709,9.28895453261979
"1426446_at",8.3984348444256,8.99311575812303,8.33668136067821,8.65864634022684,9.10656812017472,9.01013804067754,8.59320720675047,8.41641390331162,8.32588779505007,8.62534628820177,8.79253920926684,8.94040175730339
"1451111_at",8.08256747835281,8.10149461539316,7.26939187005878,7.68116426755593,7.76132636022038,7.53528939329091,7.85395385656864,8.30193824981825,7.76125105797045,7.66920027809835,7.97520613931665,7.51914544679908
"1425991_a_at",8.89721698707269,10.4863163950249,8.87287574423574,9.26621267473212,10.8563038855483,9.47653902755806,9.01364719150062,8.9993948222878,8.81481611980023,9.29260160092382,9.15801758699437,9.53607790042526
"1430421_a_at",11.182112917779,11.0784748469796,11.1554719530393,10.9552578892279,11.1362041623195,10.7609365840494,10.5049134487543,10.6075276105733,10.8188656405005,11.0447399321521,10.8702853854681,10.660757275204
"1451566_at",8.26665119506861,7.82721582488981,8.54263368609922,8.23054478715125,7.97350947365461,8.4773513974376,7.72006929279504,7.75441927380938,8.07056201117693,8.31801128635581,8.31108758707579,8.65803221596928
"1427056_at",8.98942109609302,8.92619710195273,9.50920735292537,9.0127733010587,8.96962831000254,10.1733631502259,9.35864769051192,9.59574035608899,9.33142581681618,8.74127931480236,9.34112503107325,10.2140215891665
"1454674_at",7.55206655729625,7.8839722248208,8.16802228764895,8.13956981401856,7.82239042069044,8.25034279656851,7.8084603205918,7.62824043780601,8.08548849513036,8.01836722839748,7.61566329115511,7.90039401029839
"1435767_at",10.4296967563303,10.1762664973992,10.0806798291802,10.605293691577,10.3194002624984,8.27751543697338,9.81604076738,9.81836046021385,9.83644058247334,10.5009672469821,10.1603800016434,8.26722009195637
"1451457_at",9.40444296500987,9.30487609613233,8.58732977085976,8.6775390024783,9.18280562983445,8.64636498574204,8.86357165731704,8.79467449646379,9.17998376049737,8.8604042417982,9.06847201576575,9.09950646688288
"1419874_x_at",6.79081224631424,6.44645614519357,8.5081226334124,7.46838452549167,7.60848904856456,9.46678682424517,8.11173313366005,8.15138033575263,6.96783939593485,7.27387584240379,8.00737027882409,9.18377971883138
"1452005_at",8.01412510365648,7.5202983164531,8.40170398532564,8.26194925617936,7.68595249299691,8.20925623107265,7.92823724804063,7.76501178143126,8.00263628110305,8.20160902758797,8.32078560014407,8.26581400821055
"1424606_at",7.72934032210575,7.42030577159367,8.09191383098792,8.15168849235034,7.86474037715225,8.37334100095941,7.79424561435518,7.50205135679536,7.95395657975202,7.669335476409,7.44741681930502,7.96559859158133
"1434326_x_at",9.75838595356787,9.78704193854929,10.7736438643948,10.5443602375226,9.83122471787378,10.83188977392,10.1171752421369,10.1820175551155,10.196703099783,10.3269730362459,10.717931601726,10.738782628574
"1426800_at",6.99896487032609,7.43831058344333,8.08987426382262,7.67189308670179,7.13833463597603,7.51886554072143,7.38178833843889,6.89943604966704,7.6219781184692,7.28196340360573,6.9957346073927,7.69486813251612
"1426556_at",8.92674917102937,8.41415287680877,8.57407854225981,9.01133433390979,9.15773043264723,9.22391061931407,8.6301594663813,8.86326648349278,8.59712797496964,9.18335808967681,9.03041090306701,9.628766143864
"1434038_at",8.90865050291477,8.62344743490172,8.39326897363753,8.41146952156318,8.43110065789656,8.34393338553627,8.91927013040572,9.50983267913428,8.78694721753895,8.64438633098971,8.92028714892652,8.56803524461071
"1434386_at",8.59810291100857,7.54074897351248,8.87156463863229,8.76044703325128,8.46350640468331,8.65166974216615,8.59775981405554,8.40894813412762,8.19461897876074,8.84405564245523,8.93197658445873,8.856657560863
"1424995_at",5.75044130110563,5.59926213363986,6.4578757394936,6.01649836770449,5.67752663587503,6.48644289264329,6.11908138178483,5.6811044893929,5.98042753728892,6.18081468310124,5.79303170033995,6.02915546795203
"1460393_a_at",8.9056252087445,9.48406307031973,7.96539534573292,8.67746386211697,9.28258888478019,9.61140614574954,8.76493824640257,8.8977484268499,8.81722138476064,8.77604848502849,8.91207356060169,9.56812425418793
"1451969_s_at",10.916519786462,10.6949827089087,10.635511350955,10.4809520200279,9.95132846177906,10.3190956231078,10.8695593065231,10.9523254500728,11.027805402582,10.3500587142205,10.3102646812768,10.4295262042429
"1424947_at",9.23047943232229,9.63219540760753,9.05321297452555,9.61675407289891,9.69457092016774,9.95742366529103,9.16924811499729,9.55357614444435,9.73322183338119,9.4613695322621,9.66752647481219,9.83405441499311
"1424451_at",6.58787311611036,6.53098131140076,7.48561638031248,7.42449360452443,7.673045140455,8.27761736394063,6.40157482489948,6.58788869905442,6.48746848342641,7.25119499212321,7.41484702230493,8.53146465727696
"1425751_at",7.49343763163314,7.80886566445079,8.07312348497678,7.95878631224327,7.80420772162066,8.27147086425286,7.82181813470596,7.45732371414818,7.95243537776067,7.81701578755769,7.50511952051213,8.04039568170982
